,scode,School Dist Name,Test Component,State Avg Score,Dist Avg Score,Test Score Bracket
71,631,Clayton County,Combined Test Score,1052,950.0,Below Average
72,631,Clayton County,Combined Test Score,1052,950.0,Below Average
73,631,Clayton County,Combined Test Score,1052,950.0,Below Average
74,631,Clayton County,Combined Test Score,1052,950.0,Below Average
75,631,Clayton County,Combined Test Score,1052,950.0,Below Average
76,631,Clayton County,Combined Test Score,1052,950.0,Below Average
77,631,Clayton County,Combined Test Score,1052,950.0,Below Average
78,631,Clayton County,Combined Test Score,1052,950.0,Below Average
79,632,Clinch County,Combined Test Score,1052,990.0,Average
80,633,Cobb County,Combined Test Score,1052,1112.0,Average
81,633,Cobb County,Combined Test Score,1052,1112.0,Average
82,633,Cobb County,Combined Test Score,1052,1112.0,Average
83,633,Cobb County,Combined Test Score,1052,1112.0,Average
84,633,Cobb County,Combined Test Score,1052,1112.0,Average
85,633,Cobb County,Combined Test Score,1052,1112.0,Average
86,633,Cobb County,Combined Test Score,1052,1112.0,Average
87,633,Cobb County,Combined Test Score,1052,1112.0,Average
88,633,Cobb County,Combined Test Score,1052,1112.0,Average
89,633,Cobb County,Combined Test Score,1052,1112.0,Average
90,633,Cobb County,Combined Test Score,1052,1112.0,Average
91,633,Cobb County,Combined Test Score,1052,1112.0,Average
92,633,Cobb County,Combined Test Score,1052,1112.0,Average
93,633,Cobb County,Combined Test Score,1052,1112.0,Average
94,633,Cobb County,Combined Test Score,1052,1112.0,Average
95,633,Cobb County,Combined Test Score,1052,1112.0,Average
96,633,Cobb County,Combined Test Score,1052,1112.0,Average
97,634,Coffee County,Combined Test Score,1052,981.0,Below Average
98,634,Coffee County,Combined Test Score,1052,981.0,Below Average
99,634,Coffee County,Combined Test Score,1052,981.0,Below Average
100,635,Colquitt County,Combined Test Score,1052,1028.0,Average
101,636,Columbia County,Combined Test Score,1052,1106.0,Average
102,636,Columbia County,Combined Test Score,1052,1106.0,Average
103,636,Columbia County,Combined Test Score,1052,1106.0,Average
104,636,Columbia County,Combined Test Score,1052,1106.0,Average
105,636,Columbia County,Combined Test Score,1052,1106.0,Average
106,637,Cook County,Combined Test Score,1052,951.0,Below Average
107,638,Coweta County,Combined Test Score,1052,1092.0,Average
108,638,Coweta County,Combined Test Score,1052,1092.0,Average
109,638,Coweta County,Combined Test Score,1052,1092.0,Average
110,639,Crawford County,Combined Test Score,1052,1014.0,Average
111,640,Crisp County,Combined Test Score,1052,983.0,Below Average
112,641,Dade County,Combined Test Score,1052,1080.0,Average
113,642,Dawson County,Combined Test Score,1052,1045.0,Average
114,643,Decatur County,Combined Test Score,1052,973.0,Below Average
115,644,DeKalb County,Combined Test Score,1052,1004.0,Average
116,644,DeKalb County,Combined Test Score,1052,1004.0,Average
117,644,DeKalb County,Combined Test Score,1052,1004.0,Average
118,644,DeKalb County,Combined Test Score,1052,1004.0,Average
119,644,DeKalb County,Combined Test Score,1052,1004.0,Average
120,644,DeKalb County,Combined Test Score,1052,1004.0,Average
121,644,DeKalb County,Combined Test Score,1052,1004.0,Average
122,644,DeKalb County,Combined Test Score,1052,1004.0,Average
123,644,DeKalb County,Combined Test Score,1052,1004.0,Average
124,644,DeKalb County,Combined Test Score,1052,1004.0,Average
125,644,DeKalb County,Combined Test Score,1052,1004.0,Average
126,644,DeKalb County,Combined Test Score,1052,1004.0,Average
127,644,DeKalb County,Combined Test Score,1052,1004.0,Average
128,644,DeKalb County,Combined Test Score,1052,1004.0,Average
129,644,DeKalb County,Combined Test Score,1052,1004.0,Average
130,644,DeKalb County,Combined Test Score,1052,1004.0,Average
131,644,DeKalb County,Combined Test Score,1052,1004.0,Average
132,644,DeKalb County,Combined Test Score,1052,1004.0,Average
133,644,DeKalb County,Combined Test Score,1052,1004.0,Average
134,644,DeKalb County,Combined Test Score,1052,1004.0,Average
135,644,DeKalb County,Combined Test Score,1052,1004.0,Average
136,644,DeKalb County,Combined Test Score,1052,1004.0,Average
137,644,DeKalb County,Combined Test Score,1052,1004.0,Average
138,644,DeKalb County,Combined Test Score,1052,1004.0,Average
139,645,Dodge County,Combined Test Score,1052,1044.0,Average
140,646,Dooly County,Combined Test Score,1052,965.0,Below Average
141,647,Dougherty County,Combined Test Score,1052,942.0,Below Average
142,647,Dougherty County,Combined Test Score,1052,942.0,Below Average
143,647,Dougherty County,Combined Test Score,1052,942.0,Below Average
144,647,Dougherty County,Combined Test Score,1052,942.0,Below Average
145,648,Douglas County,Combined Test Score,1052,1004.0,Average
146,648,Douglas County,Combined Test Score,1052,1004.0,Average
147,648,Douglas County,Combined Test Score,1052,1004.0,Average
148,648,Douglas County,Combined Test Score,1052,1004.0,Average
149,648,Douglas County,Combined Test Score,1052,1004.0,Average
150,649,Early County,Combined Test Score,1052,940.0,Below Average
151,650,Echols County,Combined Test Score,1052,1040.0,Average
152,651,Effingham County,Combined Test Score,1052,1090.0,Average
153,651,Effingham County,Combined Test Score,1052,1090.0,Average
