LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,616,Bulloch County,4052,Portal Middle/High School,All Students,Writing Subscore,788161,7605,40,5,6.5,6.7,6.3,
2018-19,617,Burke County,288,Burke County High School,All Students,Composite,1782820,32389,47,47,20.7,20.4,17.5,17.5
2018-19,617,Burke County,288,Burke County High School,All Students,English,1782820,32388,47,47,20.1,19.8,16.1,16.1
2018-19,617,Burke County,288,Burke County High School,All Students,Mathematics,1782820,32391,47,47,20.4,19.8,17.8,17.8
2018-19,617,Burke County,288,Burke County High School,All Students,Reading,1782820,32390,47,47,21.2,21.3,18,18
2018-19,617,Burke County,288,Burke County High School,All Students,Science,1782820,32389,47,47,20.6,20.4,18,18
2018-19,617,Burke County,288,Burke County High School,All Students,Writing Subscore,788161,7605,9,9,6.5,6.7,,
2018-19,618,Butts County,190,Jackson High School,All Students,Composite,1782820,32389,48,48,20.7,20.4,17.5,17.5
2018-19,618,Butts County,190,Jackson High School,All Students,English,1782820,32388,48,48,20.1,19.8,16.2,16.2
2018-19,618,Butts County,190,Jackson High School,All Students,Mathematics,1782820,32391,48,48,20.4,19.8,17.2,17.2
2018-19,618,Butts County,190,Jackson High School,All Students,Reading,1782820,32390,48,48,21.2,21.3,18.3,18.3
2018-19,618,Butts County,190,Jackson High School,All Students,Science,1782820,32389,48,48,20.6,20.4,17.8,17.8
2018-19,618,Butts County,190,Jackson High School,All Students,Writing Subscore,788161,7605,5,5,6.5,6.7,,
2018-19,619,Calhoun County,113,Calhoun County High School,All Students,Composite,1782820,32389,9,9,20.7,20.4,,
2018-19,619,Calhoun County,113,Calhoun County High School,All Students,English,1782820,32388,9,9,20.1,19.8,,
2018-19,619,Calhoun County,113,Calhoun County High School,All Students,Mathematics,1782820,32391,9,9,20.4,19.8,,
2018-19,619,Calhoun County,113,Calhoun County High School,All Students,Reading,1782820,32390,9,9,21.2,21.3,,
2018-19,619,Calhoun County,113,Calhoun County High School,All Students,Science,1782820,32389,9,9,20.6,20.4,,
2018-19,619,Calhoun County,113,Calhoun County High School,All Students,Writing Subscore,788161,7605,1,1,6.5,6.7,,
2018-19,620,Camden County,295,Camden County High School,All Students,Composite,1782820,32389,150,150,20.7,20.4,21.2,21.2
2018-19,620,Camden County,295,Camden County High School,All Students,English,1782820,32388,149,149,20.1,19.8,20.4,20.4
2018-19,620,Camden County,295,Camden County High School,All Students,Mathematics,1782820,32391,149,149,20.4,19.8,20.5,20.5
2018-19,620,Camden County,295,Camden County High School,All Students,Reading,1782820,32390,149,149,21.2,21.3,22.1,22.1
2018-19,620,Camden County,295,Camden County High School,All Students,Science,1782820,32389,150,150,20.6,20.4,21.1,21.1
2018-19,620,Camden County,295,Camden County High School,All Students,Writing Subscore,788161,7605,28,28,6.5,6.7,6.6,6.6
2018-19,621,Candler County,101,Metter High School,All Students,Composite,1782820,32389,22,22,20.7,20.4,18.7,18.7
2018-19,621,Candler County,101,Metter High School,All Students,English,1782820,32388,22,22,20.1,19.8,17.6,17.6
2018-19,621,Candler County,101,Metter High School,All Students,Mathematics,1782820,32391,22,22,20.4,19.8,18.8,18.8
2018-19,621,Candler County,101,Metter High School,All Students,Reading,1782820,32390,22,22,21.2,21.3,19.3,19.3
2018-19,621,Candler County,101,Metter High School,All Students,Science,1782820,32389,22,22,20.6,20.4,18.6,18.6
2018-19,621,Candler County,101,Metter High School,All Students,Writing Subscore,788161,7605,4,4,6.5,6.7,,
2018-19,622,Carroll County,189,Temple High School,All Students,Composite,1782820,32389,199,30,20.7,20.4,19.7,19.4
2018-19,622,Carroll County,189,Temple High School,All Students,English,1782820,32388,199,30,20.1,19.8,18.7,18.7
2018-19,622,Carroll County,189,Temple High School,All Students,Mathematics,1782820,32391,199,30,20.4,19.8,18.9,18.5
2018-19,622,Carroll County,189,Temple High School,All Students,Reading,1782820,32390,199,30,21.2,21.3,20.6,20.5
2018-19,622,Carroll County,189,Temple High School,All Students,Science,1782820,32389,199,30,20.6,20.4,20.1,19.8
2018-19,622,Carroll County,189,Temple High School,All Students,Writing Subscore,788161,7605,35,6,6.5,6.7,6.4,
2018-19,622,Carroll County,212,Mt. Zion High School,All Students,Composite,1782820,32389,199,16,20.7,20.4,19.7,18.7
2018-19,622,Carroll County,212,Mt. Zion High School,All Students,English,1782820,32388,199,16,20.1,19.8,18.7,17.3
2018-19,622,Carroll County,212,Mt. Zion High School,All Students,Mathematics,1782820,32391,199,16,20.4,19.8,18.9,18.8
2018-19,622,Carroll County,212,Mt. Zion High School,All Students,Reading,1782820,32390,199,16,21.2,21.3,20.6,19.3
2018-19,622,Carroll County,212,Mt. Zion High School,All Students,Science,1782820,32389,199,16,20.6,20.4,20.1,18.9
2018-19,622,Carroll County,212,Mt. Zion High School,All Students,Writing Subscore,788161,7605,35,4,6.5,6.7,6.4,
2018-19,622,Carroll County,2052,Central High School,All Students,Composite,1782820,32389,199,59,20.7,20.4,19.7,19.8
2018-19,622,Carroll County,2052,Central High School,All Students,English,1782820,32388,199,59,20.1,19.8,18.7,18.5
2018-19,622,Carroll County,2052,Central High School,All Students,Mathematics,1782820,32391,199,59,20.4,19.8,18.9,18.8
2018-19,622,Carroll County,2052,Central High School,All Students,Reading,1782820,32390,199,59,21.2,21.3,20.6,20.8
2018-19,622,Carroll County,2052,Central High School,All Students,Science,1782820,32389,199,59,20.6,20.4,20.1,20.5
2018-19,622,Carroll County,2052,Central High School,All Students,Writing Subscore,788161,7605,35,9,6.5,6.7,6.4,
2018-19,622,Carroll County,3050,Bowdon High School,All Students,Composite,1782820,32389,199,25,20.7,20.4,19.7,18.2
2018-19,622,Carroll County,3050,Bowdon High School,All Students,English,1782820,32388,199,25,20.1,19.8,18.7,17.3
2018-19,622,Carroll County,3050,Bowdon High School,All Students,Mathematics,1782820,32391,199,25,20.4,19.8,18.9,17.9
2018-19,622,Carroll County,3050,Bowdon High School,All Students,Reading,1782820,32390,199,25,21.2,21.3,20.6,19.1
2018-19,622,Carroll County,3050,Bowdon High School,All Students,Science,1782820,32389,199,25,20.6,20.4,20.1,17.7
2018-19,622,Carroll County,5054,Villa Rica High School,All Students,Composite,1782820,32389,199,69,20.7,20.4,19.7,20.6
2018-19,622,Carroll County,5054,Villa Rica High School,All Students,English,1782820,32388,199,69,20.1,19.8,18.7,19.9
2018-19,622,Carroll County,5054,Villa Rica High School,All Students,Mathematics,1782820,32391,199,69,20.4,19.8,18.9,19.7
2018-19,622,Carroll County,5054,Villa Rica High School,All Students,Reading,1782820,32390,199,69,21.2,21.3,20.6,21.4
2018-19,622,Carroll County,5054,Villa Rica High School,All Students,Science,1782820,32389,199,69,20.6,20.4,20.1,20.9
